code	occupation	gender	conversations	birth-region	age-range	study-level
PKP129	5-Service-Workers	F	KPS022	campania	26-30	tecnical-workhnical-vocational-diploma
PKP130	2-Professionals	F	KPS023	campania	31-35	university-degree
PKP131	0-Unemployed	F	KPS024	campania	21-25	tecnical-workhnical-vocational-diploma
PKP132	0-Retired	F	KPS025	campania	61-65	tecnical-workhnical-vocational-diploma
PKP133	0-Retired	M	KPS025	campania	71-75	primary-school
PKP134	2-Professionals	F	KPS007	abruzzo	26-30	university-degree
PKP135	2-Professionals	F	KPS007;KPS003;KPN001	abruzzo	21-25	liceo-diploma
PKP136	0-Students	M	KPN03;KPN029;KPS018	basilicata	21-25	university-degree-ongoing
PKP137	2-Professionals	F	KPS018	basilicata	56-60	university-degree
PKP138	2-Professionals	M	KPS018	basilicata	61-65	university-degree
PKP139	0-Students	F	KPN029	basilicata	21-25	university-degree-ongoing
PKP140	2-Professionals	F	KPN029	basilicata	26-30	university-degree
PKP141	0-Students	F	KPN030	basilicata	21-25	university-degree-ongoing
PKP142	0-Students	F	KPN030	basilicata	21-25	university-degree-ongoing
PKP143	0-Students	F	KPN019	veneto	16-20	middle-school
PKP144	2-Professionals	M	KPN019	veneto	61-65	university-degree
PKP145	0-Students	F	KPN018	veneto	21-25	university-degree-ongoing
PKP146	3-Technicians	M	KPN018	veneto	56-60	tecnical-workhnical-vocational-diploma
PKP147	0-Students	F	KPC011	umbria	21-25	university-degree-ongoing
PKP148	0-Retired	M	KPC011	toscana	81-85	primary-school
PKP149	0-Retired	F	KPC011	toscana	76-80	primary-school
BOI001	4-Clerical-Workers	M	PBC001	emilia-romagna	61-65	technical-vocational-diploma
BOI002	5-Service-Workers	F	PBB001	estero	51-55	liceo-diploma
BOI003	4-Clerical-Workers	F	PBB002	emilia-romagna	56-60	technical-vocational-diploma
BOI004	2-Professionals	F	PBB003	emilia-romagna	46-50	liceo-diploma
BOI005	4-Clerical-Workers	M	PBB003	emilia-romagna	51-55	technical-vocational-diploma
BOI006	4-Clerical-Workers	F	PBA001	emilia-romagna	26-30	university-degree
BOI007	3-Technicians	F	PBC002	emilia-romagna	71-75	middle-school
BOI008	3-Technicians	M	PBC002	emilia-romagna	76-80	liceo-diploma
BOI009	0-Retired	F	PBC003	emilia-romagna	71-75	primary-school
BOI010	0-Retired	M	PBC003	emilia-romagna	71-75	middle-school
BOI011	0-Retired	F	PBC004	emilia-romagna	66-70	university-degree
BOI012	7-Plant-Operators	M	PBB004	emilia-romagna	56-60	technical-vocational-diploma
BOI013	3-Technicians	F	PBB004	calabria	56-60	technical-vocational-diploma
BOI014	0-Retired	F	PBC005	emilia-romagna	76-80	liceo-diploma
BOI015	3-Technicians	F	PBB005	emilia-romagna	56-60	technical-vocational-diploma
